,Zipcode,Cluster8Assignment
1599,07114,3
1600,07201,2
1601,07202,4
1602,07203,3
1603,07204,8
1604,07205,3
1605,07206,2
1606,07207,3
1607,07208,4
1608,07302,4
1609,07303,4
1610,07304,4
1611,07305,4
1612,07306,4
1613,07307,4
1614,07310,4
1615,07311,4
1616,07401,8
1617,07403,8
1618,07405,7
1619,07407,8
1620,07410,8
1621,07416,6
1622,07417,8
1623,07418,7
1624,07419,5
1625,07420,6
1626,07421,7
1627,07422,7
1628,07423,8
1629,07424,8
1630,07428,7
1631,07430,8
1632,07432,8
1633,07435,7
1634,07436,7
1635,07438,7
1636,07439,7
1637,07440,7
1638,07442,8
1639,07444,8
1640,07446,8
1641,07450,8
1642,07451,8
1643,07452,8
1644,07456,7
1645,07457,8
1646,07458,8
1647,07460,7
1648,07461,7
1649,07462,5
1650,07463,7
1651,07465,8
1652,07470,7
1653,07474,8
1654,07480,7
1655,07481,8
1656,07495,5
1657,07501,2
1658,07502,4
1659,07503,4
1660,07504,4
1661,07505,3
1662,07506,8
1663,07507,8
1664,07508,8
1665,07509,3
1666,07512,6
1667,07513,4
1668,07514,4
1669,07522,4
1670,07524,2
1671,07538,4
1672,07543,2
1673,07544,2
1674,07601,4
1675,07602,4
1676,07603,8
1677,07604,8
1678,07605,8
1679,07607,8
1680,07608,8
1681,07620,8
1682,07621,8
1683,07624,8
1684,07626,8
1685,07627,8
1686,07628,8
1687,07630,7
1688,07631,8
1689,07632,8
1690,07640,8
1691,07641,8
1692,07642,7
1693,07643,8
1694,07644,8
1695,07645,8
1696,07646,8
1697,07647,8
1698,07648,8
1699,07649,7
1700,07650,8
1701,07652,8
1702,07653,7
1703,07656,7
1704,07657,8
1705,07660,8
1706,07661,8
1707,07662,8
1708,07663,8
1709,07666,8
1710,07670,8
1711,07675,7
1712,07676,7
1713,07677,8
1714,07701,8
1715,07702,7
1716,07704,8
1717,07710,8
1718,07711,7
1719,07712,4
1720,07716,7
1721,07717,8
1722,07718,7
1723,07719,7
1724,07720,8
1725,07721,8
1726,07722,7
1727,07723,8
1728,07724,5
1729,07726,7
1730,07727,7
1731,07728,8
1732,07730,7
1733,07731,7
1734,07732,7
1735,07733,8
1736,07734,6
1737,07735,8
1738,07737,7
1739,07738,7
1740,07739,8
1741,07740,4
1742,07746,8
1743,07747,8
1744,07748,7
1745,07750,8
1746,07751,8
1747,07752,7
1748,07753,5
1749,07754,4
1750,07755,7
1751,07756,5
1752,07757,7
1753,07758,7
1754,07760,8
1755,07762,8
1756,07763,7
1757,07764,7
1758,07801,4
1759,07802,2
1760,07803,8
1761,07820,8
1762,07821,7
1763,07822,7
1764,07823,7
1765,07825,7
1766,07826,7
1767,07827,7
1768,07828,8
1769,07832,7
1770,07834,7
1771,07836,8
1772,07837,7
1773,07838,8
1774,07840,7
1775,07843,7
1776,07847,8
1777,07848,7
1778,07849,7
1779,07850,7
1780,07851,7
1781,07852,7
1782,07853,7
1783,07856,8
1784,07857,5
1785,07860,7
1786,07863,6
1787,07865,7
1788,07866,7
1789,07869,8
1790,07871,7
1791,07874,7
1792,07876,7
1793,07878,8
1794,07882,7
1795,07885,4
1796,07901,8
1797,07902,8
1798,07920,8
1799,07921,8
1800,07922,7
1801,07924,8
1802,07926,8
1803,07927,7
1804,07928,8
1805,07930,8
1806,07931,8
1807,07932,8
1808,07933,7
1809,07934,8
1810,07935,8
1811,07936,7
1812,07940,8
1813,07945,8
1814,07946,7
1815,07950,7
1816,07960,8
1817,07961,8
1818,07962,4
1819,07974,8
1820,07976,8
1821,07981,7
1822,08001,7
1823,08002,8
1824,08003,7
1825,08004,6
1826,08005,7
1827,08006,8
1828,08007,5
1829,08008,8
1830,08009,6
1831,08010,5
1832,08012,5
1833,08014,7
1834,08015,6
1835,08016,5
1836,08019,6
1837,08020,7
1838,08021,5
1839,08022,7
1840,08023,6
1841,08026,7
1842,08027,6
1843,08028,5
1844,08029,5
1845,08030,5
1846,08031,5
1847,08032,7
1848,08033,7
1849,08034,7
1850,08035,7
1851,08036,7
1852,08037,6
1853,08038,7
1854,08039,7
1855,08041,7
1856,08043,8
1857,08045,3
1858,08046,3
1859,08048,8
1860,08049,5
1861,08050,7
